epoch,batch,loss,loss_name
2,64,56367.57421875,MSE
2,65,32076.296875,MSE
2,66,27955.29296875,MSE
2,67,34928.43359375,MSE
2,68,68262.609375,MSE
2,69,14241.69140625,MSE
2,70,259999.03125,MSE
2,71,147725.484375,MSE
2,72,125327.8125,MSE
2,73,15494.8447265625,MSE
2,74,17172.40234375,MSE
2,75,112113.2734375,MSE
2,76,16025.72265625,MSE
2,77,27417.107421875,MSE
2,78,31219.115234375,MSE
2,79,26984.02734375,MSE
2,80,21421.984375,MSE
2,81,85626.5546875,MSE
2,82,19270.1796875,MSE
2,83,13193.3876953125,MSE
2,84,15132.2158203125,MSE
2,85,75748.1875,MSE
2,86,206917.5625,MSE
2,87,261814.875,MSE
2,88,138794.125,MSE
2,89,209705.765625,MSE
2,90,67302.21875,MSE
2,91,243535.34375,MSE
2,92,118753.40625,MSE
2,93,98034.6875,MSE
2,94,97423.8046875,MSE
2,95,25386.154296875,MSE
2,96,57074.86328125,MSE
2,97,137284.640625,MSE
2,98,57037.078125,MSE
2,99,53363.37109375,MSE
2,100,10991.138671875,MSE
2,101,51671.26171875,MSE
2,102,48385.75,MSE
2,103,106577.890625,MSE
2,104,8571.66015625,MSE
2,105,202938.484375,MSE
2,106,79740.53125,MSE
2,107,48005.09765625,MSE
2,108,25156.4296875,MSE
2,109,34858.7890625,MSE
2,110,167756.734375,MSE
2,111,103449.609375,MSE
2,112,6759.67822265625,MSE
2,113,38488.50390625,MSE
2,114,95733.9375,MSE
2,115,86706.734375,MSE
2,116,42922.2734375,MSE
2,117,10260.302734375,MSE
2,118,26575.162109375,MSE
2,119,23555.869140625,MSE
2,120,83860.109375,MSE
2,121,108417.09375,MSE
2,122,148850.234375,MSE
2,123,39195.78125,MSE
2,124,100388.03125,MSE
2,125,99813.96875,MSE
2,126,40783.16796875,MSE
2,127,83198.109375,MSE
2,128,44658.6328125,MSE
2,129,62722.2421875,MSE
2,130,46079.0546875,MSE
2,131,23176.462890625,MSE
2,132,61444.671875,MSE
2,133,154014.9375,MSE
2,134,82100.078125,MSE
2,135,204579.90625,MSE
2,136,230676.4375,MSE
2,137,25470.3046875,MSE
3,0,29781.3203125,MSE
3,1,11899.529296875,MSE
3,2,34719.98046875,MSE
3,3,34736.3515625,MSE
3,4,58099.44140625,MSE
3,5,32702.724609375,MSE
3,6,2911.59521484375,MSE
3,7,10101.44140625,MSE
3,8,5936.26220703125,MSE
3,9,40403.80859375,MSE
3,10,3027.167724609375,MSE
3,11,14495.935546875,MSE
3,12,84309.5625,MSE
3,13,182335.9375,MSE
3,14,3799.9443359375,MSE
3,15,43030.375,MSE
3,16,70792.375,MSE
3,17,36083.21875,MSE
3,18,72600.90625,MSE
3,19,71575.515625,MSE
3,20,23550.73828125,MSE
3,21,36434.421875,MSE
3,22,12442.52734375,MSE
3,23,15893.501953125,MSE
3,24,27701.8125,MSE
3,25,29679.83203125,MSE
3,26,48807.1328125,MSE
3,27,134465.71875,MSE
3,28,24257.177734375,MSE
3,29,18810.11328125,MSE
3,30,8943.02734375,MSE
3,31,6289.77099609375,MSE
3,32,68651.390625,MSE
3,33,48912.8515625,MSE
3,34,10704.9638671875,MSE
3,35,197498.890625,MSE
3,36,386930.3125,MSE
3,37,46562.12890625,MSE
3,38,114453.0625,MSE
3,39,101364.359375,MSE
3,40,33747.3515625,MSE
3,41,30390.08984375,MSE
3,42,106246.453125,MSE
3,43,36869.203125,MSE
3,44,22079.044921875,MSE
